tag,type,design_barg,set_barg,thickness_mm,inspected,sheet
TB-101,turbine,17.0,,7.8,2026-01-03,easy_01.png
GV-102,globe_valve,33.9,,7.1,2026-01-17,easy_01.png
DV-103,diaphragm_valve,13.3,,7.0,2026-07-03,easy_01.png
FN-104,fan,14.2,,12.6,2026-01-27,easy_01.png
DV-105,diaphragm_valve,25.2,,17.4,2026-01-19,easy_01.png
DV-106,diaphragm_valve,25.9,,6.6,2026-04-02,easy_01.png
R-101,reactor,24.9,,7.6,2026-07-05,easy_02.png
LT-102,level_instrument,24.4,,12.9,2026-09-27,easy_02.png
NV-103,needle_valve,29.2,,7.2,2026-04-12,easy_02.png
TB-104,turbine,9.3,,14.5,2026-01-20,easy_02.png
PLV-105,plug_valve,13.0,,14.2,2026-07-25,easy_02.png
BV-106,ball_valve,16.7,,13.0,2026-08-12,easy_02.png
FN-107,fan,16.2,,15.5,2026-04-03,easy_02.png
FN-101,fan,25.5,,12.3,2026-06-24,easy_03.png
LT-102,level_instrument,21.3,,13.3,2026-02-04,easy_03.png
NV-103,needle_valve,23.4,,8.0,2026-06-05,easy_03.png
TK-104,vessel,37.7,,11.1,2026-02-25,easy_03.png
FV-105,control_valve,25.0,,15.5,2026-06-11,easy_03.png
FV-106,control_valve,29.6,,13.1,2026-08-03,easy_03.png
K-107,compressor,34.6,,17.3,2026-08-23,easy_03.png
FN-101,fan,28.6,,6.7,2026-05-21,easy_04.png
FIT-102,pipe_fitting,25.7,,14.2,2026-08-10,easy_04.png
AV-103,angle_valve,30.4,,16.6,2026-06-01,easy_04.png
TK-104,vessel,38.0,,10.3,2026-02-16,easy_04.png
CV-105,check_valve,8.0,,15.2,2026-03-24,easy_04.png
BV-106,ball_valve,14.4,,10.7,2026-08-03,easy_04.png
P-101,pump,11.7,,10.8,2026-05-05,easy_05.png
PSV-102,relief_valve,33.9,32.6,9.3,2026-07-12,easy_05.png
PSV-103,relief_valve,29.2,26.3,8.8,2026-02-06,easy_05.png
FN-104,fan,11.1,,13.9,2026-01-16,easy_05.png
PT-105,pressure_instrument,34.3,,8.2,2026-05-01,easy_05.png
FV-106,control_valve,11.0,,12.4,2026-06-05,easy_05.png
F-101,fired_heater,29.5,,12.2,2026-01-15,hard_01.png
FT-102,flow_instrument,36.6,,15.4,2026-09-13,hard_01.png
BV-103,ball_valve,19.5,,10.7,2026-08-21,hard_01.png
FN-104,fan,19.6,,8.3,2026-04-15,hard_01.png
FT-105,flow_instrument,11.5,,10.1,2026-01-04,hard_01.png
FIT-106,pipe_fitting,6.0,,7.8,2026-02-12,hard_01.png
TK-107,vessel,26.9,,6.8,2026-04-20,hard_01.png
BF-108,butterfly_valve,18.8,,13.6,2026-06-20,hard_01.png
FIT-109,pipe_fitting,18.4,,7.5,2026-08-15,hard_01.png
F-110,fired_heater,22.3,,9.7,2026-03-04,hard_01.png
FT-111,flow_instrument,31.5,,14.9,2026-08-27,hard_01.png
CV-112,check_valve,29.5,,12.2,2026-04-17,hard_01.png
TK-113,vessel,18.3,,14.3,2026-01-25,hard_01.png
PSV-114,relief_valve,24.0,23.5,16.4,2026-05-17,hard_01.png
PLV-115,plug_valve,18.5,,8.0,2026-04-18,hard_01.png
CN-116,conveyor,24.4,,12.0,2026-04-20,hard_01.png
FT-117,flow_instrument,33.6,,17.8,2026-04-26,hard_01.png
FIT-118,pipe_fitting,14.1,,10.8,2026-04-07,hard_01.png
P-101,pump,23.6,,10.3,2026-01-01,hard_02.png
LT-102,level_instrument,32.9,,11.7,2026-04-23,hard_02.png
DV-103,diaphragm_valve,26.6,,10.1,2026-06-12,hard_02.png
T-104,tower,8.7,,7.2,2026-08-07,hard_02.png
NV-105,needle_valve,17.5,,11.8,2026-01-16,hard_02.png
FIT-106,pipe_fitting,36.9,,10.1,2026-02-27,hard_02.png
T-107,tower,28.5,,16.9,2026-04-16,hard_02.png
GV-108,globe_valve,36.2,,11.2,2026-06-03,hard_02.png
BV-109,ball_valve,33.2,,17.7,2026-07-15,hard_02.png
CN-110,conveyor,19.6,,17.4,2026-03-06,hard_02.png
LT-111,level_instrument,39.8,,6.3,2026-08-26,hard_02.png
FV-112,control_valve,28.3,,13.3,2026-08-22,hard_02.png
K-113,compressor,37.9,,7.9,2026-09-05,hard_02.png
CV-114,check_valve,6.7,,15.6,2026-02-17,hard_02.png
GV-115,globe_valve,31.5,,7.7,2026-04-27,hard_02.png
FN-116,fan,35.7,,6.3,2026-04-10,hard_02.png
LT-117,level_instrument,23.0,,15.2,2026-06-09,hard_02.png
HV-118,gate_valve,24.5,,16.0,2026-01-24,hard_02.png
R-119,reactor,18.0,,11.5,2026-09-14,hard_02.png
LT-120,level_instrument,34.1,,16.5,2026-03-18,hard_02.png
FN-101,fan,11.2,,12.1,2026-08-25,hard_03.png
PLV-102,plug_valve,12.2,,6.0,2026-03-06,hard_03.png
BV-103,ball_valve,10.8,,13.4,2026-02-18,hard_03.png
F-104,fired_heater,8.1,,14.2,2026-09-18,hard_03.png
PLV-105,plug_valve,22.4,,15.3,2026-09-02,hard_03.png
GV-106,globe_valve,14.4,,9.3,2026-02-17,hard_03.png
R-107,reactor,21.4,,6.3,2026-02-15,hard_03.png
FIT-108,pipe_fitting,17.1,,17.7,2026-09-07,hard_03.png
FV-109,control_valve,29.6,,11.4,2026-09-26,hard_03.png
TB-110,turbine,22.3,,17.3,2026-09-09,hard_03.png
HV-111,gate_valve,37.4,,16.7,2026-04-27,hard_03.png
FIT-112,pipe_fitting,21.2,,11.0,2026-07-15,hard_03.png
TB-101,turbine,16.7,,14.1,2026-07-03,hard_04.png
AV-102,angle_valve,13.2,,9.6,2026-02-25,hard_04.png
PSV-103,relief_valve,11.3,10.7,13.9,2026-03-09,hard_04.png
CN-104,conveyor,36.0,,17.6,2026-04-24,hard_04.png
FV-105,control_valve,38.4,,10.8,2026-08-06,hard_04.png
HV-106,gate_valve,39.7,,16.0,2026-03-23,hard_04.png
CN-107,conveyor,20.7,,12.2,2026-06-14,hard_04.png
FT-108,flow_instrument,12.7,,9.8,2026-06-01,hard_04.png
PSV-109,relief_valve,17.5,15.9,14.4,2026-07-11,hard_04.png
K-110,compressor,23.6,,9.5,2026-02-04,hard_04.png
FV-111,control_valve,39.5,,15.5,2026-02-03,hard_04.png
FIT-112,pipe_fitting,15.0,,6.5,2026-03-09,hard_04.png
P-113,pump,31.7,,15.8,2026-05-13,hard_04.png
T-101,tower,11.1,,17.0,2026-08-23,hard_05.png
LT-102,level_instrument,17.1,,9.3,2026-03-14,hard_05.png
FV-103,control_valve,36.4,,9.2,2026-01-21,hard_05.png
FN-104,fan,9.0,,9.1,2026-04-03,hard_05.png
NV-105,needle_valve,15.0,,7.5,2026-01-11,hard_05.png
GV-106,globe_valve,39.8,,11.0,2026-05-20,hard_05.png
CN-107,conveyor,10.4,,12.3,2026-04-04,hard_05.png
DV-108,diaphragm_valve,39.0,,9.1,2026-03-07,hard_05.png
HV-109,gate_valve,37.7,,13.5,2026-09-25,hard_05.png
R-110,reactor,13.0,,11.3,2026-03-09,hard_05.png
AV-111,angle_valve,17.8,,6.2,2026-05-02,hard_05.png
BF-112,butterfly_valve,6.5,,14.8,2026-09-07,hard_05.png
FN-113,fan,23.5,,8.9,2026-08-04,hard_05.png
FT-114,flow_instrument,28.4,,13.8,2026-08-18,hard_05.png
CV-115,check_valve,34.4,,10.7,2026-09-10,hard_05.png
TK-116,vessel,29.4,,17.8,2026-06-07,hard_05.png
FT-117,flow_instrument,34.3,,14.5,2026-03-13,hard_05.png
HV-118,gate_valve,39.6,,17.8,2026-03-01,hard_05.png
T-119,tower,8.4,,14.9,2026-05-14,hard_05.png
CN-101,conveyor,11.6,,7.0,2026-07-28,very_hard_01.png
CV-102,check_valve,23.2,,17.7,2026-04-23,very_hard_01.png
NV-103,needle_valve,16.0,,11.5,2026-03-09,very_hard_01.png
P-104,pump,21.2,,9.2,2026-06-18,very_hard_01.png
PT-105,pressure_instrument,17.0,,6.4,2026-05-07,very_hard_01.png
BF-106,butterfly_valve,18.1,,6.0,2026-07-03,very_hard_01.png
K-107,compressor,22.1,,12.0,2026-04-08,very_hard_01.png
PLV-108,plug_valve,23.2,,6.1,2026-05-27,very_hard_01.png
BF-109,butterfly_valve,9.1,,10.8,2026-01-13,very_hard_01.png
T-110,tower,6.8,,9.7,2026-04-03,very_hard_01.png
AV-111,angle_valve,25.9,,12.4,2026-03-22,very_hard_01.png
NV-112,needle_valve,36.4,,15.4,2026-07-25,very_hard_01.png
CN-113,conveyor,17.1,,17.8,2026-03-10,very_hard_01.png
PSV-114,relief_valve,30.6,28.6,6.5,2026-09-21,very_hard_01.png
PLV-115,plug_valve,20.6,,14.4,2026-09-05,very_hard_01.png
R-116,reactor,36.9,,15.0,2026-01-27,very_hard_01.png
LT-117,level_instrument,29.3,,15.6,2026-04-03,very_hard_01.png
PLV-118,plug_valve,7.1,,7.6,2026-06-04,very_hard_01.png
R-119,reactor,18.8,,11.4,2026-01-21,very_hard_01.png
FT-120,flow_instrument,6.6,,12.4,2026-04-16,very_hard_01.png
BV-121,ball_valve,15.0,,11.5,2026-02-24,very_hard_01.png
K-122,compressor,37.7,,16.8,2026-02-22,very_hard_01.png
PT-123,pressure_instrument,23.9,,14.9,2026-08-09,very_hard_01.png
P-101,pump,33.5,,16.2,2026-04-24,very_hard_02.png
PLV-102,plug_valve,31.7,,8.8,2026-08-16,very_hard_02.png
BF-103,butterfly_valve,34.7,,6.9,2026-05-25,very_hard_02.png
K-104,compressor,7.6,,13.6,2026-04-03,very_hard_02.png
GV-105,globe_valve,26.4,,10.0,2026-05-20,very_hard_02.png
PSV-106,relief_valve,25.3,21.5,6.7,2026-05-22,very_hard_02.png
R-107,reactor,9.4,,8.6,2026-08-10,very_hard_02.png
PLV-108,plug_valve,30.1,,9.4,2026-08-15,very_hard_02.png
BF-109,butterfly_valve,32.1,,17.9,2026-09-07,very_hard_02.png
P-110,pump,16.6,,7.0,2026-08-01,very_hard_02.png
FT-111,flow_instrument,15.8,,6.9,2026-09-15,very_hard_02.png
GV-112,globe_valve,39.8,,10.6,2026-04-03,very_hard_02.png
P-113,pump,25.8,,7.7,2026-09-09,very_hard_02.png
PT-114,pressure_instrument,38.4,,7.6,2026-09-09,very_hard_02.png
BV-115,ball_valve,36.2,,14.4,2026-04-16,very_hard_02.png
FN-116,fan,36.5,,11.8,2026-01-06,very_hard_02.png
FT-117,flow_instrument,6.1,,11.9,2026-08-13,very_hard_02.png
PLV-118,plug_valve,16.3,,7.7,2026-06-13,very_hard_02.png
R-119,reactor,16.7,,16.1,2026-01-11,very_hard_02.png
AV-120,angle_valve,31.5,,16.1,2026-02-07,very_hard_02.png
FIT-121,pipe_fitting,30.2,,16.8,2026-05-09,very_hard_02.png
TB-122,turbine,18.7,,10.7,2026-02-12,very_hard_02.png
FT-123,flow_instrument,37.5,,15.1,2026-01-09,very_hard_02.png
BF-124,butterfly_valve,9.5,,16.0,2026-05-21,very_hard_02.png
K-125,compressor,37.8,,9.0,2026-05-14,very_hard_02.png
R-101,reactor,23.4,,8.3,2026-06-26,very_hard_03.png
FT-102,flow_instrument,38.5,,16.6,2026-07-18,very_hard_03.png
BV-103,ball_valve,24.7,,14.6,2026-01-24,very_hard_03.png
F-104,fired_heater,20.0,,13.4,2026-03-21,very_hard_03.png
PT-105,pressure_instrument,35.6,,11.8,2026-09-05,very_hard_03.png
BF-106,butterfly_valve,11.8,,11.0,2026-05-10,very_hard_03.png
R-107,reactor,14.7,,14.9,2026-05-13,very_hard_03.png
DV-108,diaphragm_valve,28.3,,9.6,2026-09-22,very_hard_03.png
AV-109,angle_valve,19.4,,8.0,2026-03-03,very_hard_03.png
R-110,reactor,13.1,,16.9,2026-08-18,very_hard_03.png
FT-111,flow_instrument,13.5,,16.9,2026-08-14,very_hard_03.png
PSV-112,relief_valve,10.7,9.4,7.1,2026-06-18,very_hard_03.png
CN-113,conveyor,9.1,,8.9,2026-05-26,very_hard_03.png
PSV-114,relief_valve,25.4,24.5,15.0,2026-07-13,very_hard_03.png
DV-115,diaphragm_valve,20.1,,12.3,2026-07-09,very_hard_03.png
P-116,pump,17.5,,6.7,2026-05-19,very_hard_03.png
FT-117,flow_instrument,38.9,,7.5,2026-09-17,very_hard_03.png
AV-118,angle_valve,27.4,,16.4,2026-04-03,very_hard_03.png
TB-119,turbine,15.2,,9.0,2026-07-21,very_hard_03.png
FIT-120,pipe_fitting,21.2,,17.4,2026-01-05,very_hard_03.png
PLV-121,plug_valve,7.1,,14.5,2026-08-19,very_hard_03.png
FN-122,fan,22.7,,6.9,2026-09-28,very_hard_03.png
TK-101,vessel,21.9,,11.4,2026-02-08,very_hard_04.png
FV-102,control_valve,11.2,,12.3,2026-02-27,very_hard_04.png
NV-103,needle_valve,30.5,,13.8,2026-08-03,very_hard_04.png
R-104,reactor,24.8,,6.5,2026-03-08,very_hard_04.png
FT-105,flow_instrument,25.4,,6.5,2026-05-05,very_hard_04.png
CV-106,check_valve,27.3,,12.3,2026-07-23,very_hard_04.png
FN-107,fan,32.0,,7.2,2026-05-17,very_hard_04.png
FT-108,flow_instrument,38.1,,8.3,2026-05-08,very_hard_04.png
GV-109,globe_valve,32.9,,6.0,2026-09-10,very_hard_04.png
P-110,pump,39.9,,9.3,2026-06-21,very_hard_04.png
FIT-111,pipe_fitting,34.5,,8.9,2026-09-08,very_hard_04.png
CV-112,check_valve,24.6,,6.4,2026-07-23,very_hard_04.png
FN-113,fan,28.1,,6.7,2026-04-16,very_hard_04.png
CV-114,check_valve,36.1,,13.8,2026-02-09,very_hard_04.png
GV-115,globe_valve,13.7,,11.1,2026-06-08,very_hard_04.png
T-116,tower,22.8,,14.3,2026-07-12,very_hard_04.png
PSV-117,relief_valve,29.2,25.6,15.6,2026-09-03,very_hard_04.png
CV-118,check_valve,13.0,,17.6,2026-05-25,very_hard_04.png
R-119,reactor,33.9,,8.8,2026-04-09,very_hard_04.png
CV-120,check_valve,31.9,,9.5,2026-08-20,very_hard_04.png
AV-121,angle_valve,12.4,,8.7,2026-07-22,very_hard_04.png
K-122,compressor,7.9,,13.1,2026-07-02,very_hard_04.png
F-101,fired_heater,13.2,,17.7,2026-03-14,very_hard_05.png
GV-102,globe_valve,7.8,,6.7,2026-07-15,very_hard_05.png
PLV-103,plug_valve,36.5,,16.6,2026-02-03,very_hard_05.png
CN-104,conveyor,37.7,,10.0,2026-03-21,very_hard_05.png
BV-105,ball_valve,37.8,,15.0,2026-01-10,very_hard_05.png
CV-106,check_valve,28.6,,10.5,2026-06-11,very_hard_05.png
FN-107,fan,21.0,,7.3,2026-02-09,very_hard_05.png
DV-108,diaphragm_valve,8.7,,11.0,2026-02-18,very_hard_05.png
GV-109,globe_valve,38.8,,8.5,2026-06-25,very_hard_05.png
TB-110,turbine,33.9,,15.9,2026-07-03,very_hard_05.png
PSV-111,relief_valve,7.7,7.0,10.5,2026-08-07,very_hard_05.png
PLV-112,plug_valve,17.0,,14.8,2026-08-01,very_hard_05.png
P-113,pump,27.5,,9.0,2026-07-02,very_hard_05.png
DV-114,diaphragm_valve,18.8,,11.6,2026-01-09,very_hard_05.png
CV-115,check_valve,12.6,,6.8,2026-06-12,very_hard_05.png
K-116,compressor,15.3,,17.5,2026-01-09,very_hard_05.png
FIT-117,pipe_fitting,31.4,,14.3,2026-05-10,very_hard_05.png
PLV-118,plug_valve,6.1,,15.1,2026-02-01,very_hard_05.png
K-119,compressor,34.1,,7.3,2026-08-25,very_hard_05.png
PT-120,pressure_instrument,19.1,,9.0,2026-07-27,very_hard_05.png
AV-121,angle_valve,22.8,,17.1,2026-03-01,very_hard_05.png
K-122,compressor,33.3,,14.9,2026-03-20,very_hard_05.png
TB-101,turbine,14.0,,16.3,2026-08-12,complex_01.png
BV-102,ball_valve,32.7,,13.1,2026-09-07,complex_01.png
PSV-103,relief_valve,19.3,16.8,10.9,2026-01-16,complex_01.png
FN-104,fan,24.8,,9.9,2026-07-04,complex_01.png
BF-105,butterfly_valve,39.6,,9.2,2026-02-07,complex_01.png
GV-106,globe_valve,9.3,,12.0,2026-08-06,complex_01.png
T-107,tower,14.0,,11.0,2026-04-24,complex_01.png
FIT-108,pipe_fitting,24.3,,15.3,2026-02-25,complex_01.png
PSV-109,relief_valve,34.6,30.7,12.8,2026-06-09,complex_01.png
K-110,compressor,31.1,,8.4,2026-04-06,complex_01.png
PSV-111,relief_valve,14.3,12.4,16.6,2026-04-11,complex_01.png
BF-112,butterfly_valve,8.2,,9.0,2026-04-17,complex_01.png
K-113,compressor,23.9,,13.8,2026-02-21,complex_01.png
PT-114,pressure_instrument,21.8,,6.4,2026-01-16,complex_01.png
